ruta_anon,cliente_anon_id,nombre_anon,status_registro
ROUTE_0018,CUST_0059,Store_0059,no registrado
ROUTE_0017,CUST_0060,Store_0060,registrado
ROUTE_0011,CUST_0060,Store_0060,registrado
ROUTE_0008,CUST_0061,Store_0061,registrado
ROUTE_0011,CUST_0062,Store_0062,no registrado
ROUTE_0017,CUST_0063,Store_0063,registrado
ROUTE_0002,CUST_0064,Store_0064,registrado
ROUTE_0004,CUST_0065,Store_0065,registrado
ROUTE_0008,CUST_0066,Store_0066,registrado
ROUTE_0013,CUST_0067,Store_0067,registrado
ROUTE_0018,CUST_0068,Store_0068,registrado
ROUTE_0014,CUST_0069,Store_0069,no registrado
ROUTE_0011,CUST_0070,Store_0070,no registrado
ROUTE_0004,CUST_0071,Store_0071,no registrado
ROUTE_0004,CUST_0072,Store_0072,registrado
ROUTE_0009,CUST_0073,Store_0073,registrado
ROUTE_0010,CUST_0074,Store_0074,registrado
ROUTE_0006,CUST_0075,Store_0075,registrado
ROUTE_0017,CUST_0076,Store_0076,no registrado
ROUTE_0011,CUST_0076,Store_0076,no registrado
ROUTE_0009,CUST_0077,Store_0077,registrado
ROUTE_0003,CUST_0078,Store_0078,registrado
ROUTE_0009,CUST_0078,Store_0078,registrado
ROUTE_0018,CUST_0079,Store_0079,registrado
ROUTE_0002,CUST_0080,Store_0080,no registrado
ROUTE_0010,CUST_0081,Store_0081,registrado
ROUTE_0009,CUST_0082,Store_0082,registrado
ROUTE_0011,CUST_0083,Store_0083,registrado
ROUTE_0009,CUST_0084,Store_0084,registrado
ROUTE_0011,CUST_0085,Store_0085,registrado
ROUTE_0011,CUST_0086,Store_0086,registrado
ROUTE_0004,CUST_0087,Store_0087,registrado
ROUTE_0005,CUST_0088,Store_0088,registrado
ROUTE_0008,CUST_0089,Store_0089,registrado
ROUTE_0016,CUST_0090,Store_0090,registrado
ROUTE_0004,CUST_0091,Store_0091,no registrado
ROUTE_0004,CUST_0092,Store_0092,no registrado
ROUTE_0021,CUST_0093,Store_0093,registrado
ROUTE_0012,CUST_0094,Store_0094,registrado
ROUTE_0014,CUST_0095,Store_0095,registrado
ROUTE_0009,CUST_0096,Store_0096,no registrado
ROUTE_0005,CUST_0097,Store_0097,no registrado
ROUTE_0009,CUST_0098,Store_0098,registrado
ROUTE_0006,CUST_0099,Store_0099,registrado
ROUTE_0010,CUST_0100,Store_0100,no registrado
ROUTE_0010,CUST_0101,Store_0101,registrado
ROUTE_0011,CUST_0102,Store_0102,registrado
ROUTE_0011,CUST_0103,Store_0103,registrado
ROUTE_0021,CUST_0104,Store_0104,registrado
ROUTE_0002,CUST_0105,Store_0105,no registrado
ROUTE_0004,CUST_0106,Store_0106,registrado
ROUTE_0004,CUST_0107,Store_0107,no registrado
ROUTE_0010,CUST_0108,Store_0108,registrado
ROUTE_0010,CUST_0109,Store_0109,registrado
ROUTE_0021,CUST_0110,Store_0110,registrado
ROUTE_0005,CUST_0111,Store_0111,no registrado
ROUTE_0013,CUST_0112,Store_0112,registrado
ROUTE_0005,CUST_0113,Store_0113,no registrado
ROUTE_0002,CUST_0114,Store_0114,registrado
ROUTE_0009,CUST_0115,Store_0115,registrado
ROUTE_0004,CUST_0116,Store_0116,no registrado
ROUTE_0008,CUST_0117,Store_0117,registrado
ROUTE_0021,CUST_0118,Store_0118,no registrado
ROUTE_0004,CUST_0119,Store_0119,registrado
ROUTE_0009,CUST_0120,Store_0120,registrado
ROUTE_0002,CUST_0121,Store_0121,no registrado
ROUTE_0011,CUST_0122,Store_0122,registrado
ROUTE_0004,CUST_0123,Store_0123,registrado
ROUTE_0002,CUST_0124,Store_0124,registrado
ROUTE_0003,CUST_0125,Store_0125,registrado
ROUTE_0009,CUST_0125,Store_0125,registrado
ROUTE_0021,CUST_0126,Store_0126,registrado
ROUTE_0008,CUST_0127,Store_0127,registrado
ROUTE_0009,CUST_0128,Store_0128,registrado
ROUTE_0021,CUST_0129,Store_0129,no registrado
ROUTE_0006,CUST_0130,Store_0130,registrado
ROUTE_0021,CUST_0131,Store_0131,registrado
ROUTE_0004,CUST_0132,Store_0132,no registrado
ROUTE_0006,CUST_0133,Store_0133,registrado
ROUTE_0011,CUST_0134,Store_0134,registrado
ROUTE_0010,CUST_0135,Store_0135,no registrado
ROUTE_0003,CUST_0136,Store_0136,registrado
ROUTE_0004,CUST_0137,Store_0137,registrado
ROUTE_0010,CUST_0138,Store_0138,registrado
ROUTE_0021,CUST_0139,Store_0139,registrado
ROUTE_0011,CUST_0140,Store_0140,no registrado
ROUTE_0010,CUST_0141,Store_0141,registrado
ROUTE_0011,CUST_0142,Store_0142,registrado
ROUTE_0011,CUST_0143,Store_0143,registrado
ROUTE_0011,CUST_0144,Store_0144,registrado
ROUTE_0004,CUST_0145,Store_0145,registrado
ROUTE_0016,CUST_0146,Store_0146,registrado
ROUTE_0018,CUST_0147,Store_0147,registrado
ROUTE_0004,CUST_0148,Store_0148,no registrado
ROUTE_0010,CUST_0149,Store_0149,registrado
ROUTE_0012,CUST_0150,Store_0150,registrado
ROUTE_0021,CUST_0151,Store_0151,registrado
ROUTE_0011,CUST_0152,Store_0152,registrado
ROUTE_0017,CUST_0153,Store_0153,no registrado
ROUTE_0018,CUST_0154,Store_0154,registrado
ROUTE_0009,CUST_0155,Store_0155,registrado
ROUTE_0009,CUST_0156,Store_0156,registrado
ROUTE_0004,CUST_0157,Store_0157,registrado
ROUTE_0007,CUST_0158,Store_0158,registrado
ROUTE_0004,CUST_0159,Store_0159,no registrado
ROUTE_0016,CUST_0160,Store_0160,registrado
ROUTE_0001,CUST_0161,Store_0161,registrado
ROUTE_0002,CUST_0162,Store_0162,registrado
ROUTE_0010,CUST_0163,Store_0163,no registrado
ROUTE_0011,CUST_0164,Store_0164,registrado
ROUTE_0005,CUST_0165,Store_0165,no registrado
ROUTE_0012,CUST_0165,Store_0165,no registrado
ROUTE_0012,CUST_0166,Store_0166,registrado
ROUTE_0003,CUST_0167,Store_0167,no registrado
ROUTE_0016,CUST_0167,Store_0167,no registrado
ROUTE_0017,CUST_0168,Store_0168,registrado
ROUTE_0008,CUST_0169,Store_0169,no registrado
ROUTE_0002,CUST_0170,Store_0170,registrado
ROUTE_0021,CUST_0171,Store_0171,no registrado
ROUTE_0011,CUST_0172,Store_0172,registrado
ROUTE_0002,CUST_0173,Store_0173,registrado
ROUTE_0007,CUST_0174,Store_0174,no registrado
ROUTE_0018,CUST_0175,Store_0175,registrado
ROUTE_0018,CUST_0176,Store_0176,registrado
ROUTE_0006,CUST_0177,Store_0177,no registrado
ROUTE_0018,CUST_0178,Store_0178,registrado
ROUTE_0008,CUST_0179,Store_0179,registrado
ROUTE_0002,CUST_0180,Store_0180,no registrado
ROUTE_0010,CUST_0180,Store_0180,no registrado
ROUTE_0021,CUST_0181,Store_0181,no registrado
ROUTE_0012,CUST_0181,Store_0181,no registrado
ROUTE_0021,CUST_0182,Store_0182,registrado
ROUTE_0018,CUST_0183,Store_0183,no registrado
ROUTE_0018,CUST_0184,Store_0184,registrado
ROUTE_0005,CUST_0185,Store_0185,registrado
ROUTE_0014,CUST_0186,Store_0186,registrado
ROUTE_0021,CUST_0187,Store_0187,registrado
ROUTE_0007,CUST_0188,Store_0188,registrado
ROUTE_0004,CUST_0189,Store_0189,registrado
ROUTE_0005,CUST_0190,Store_0190,no registrado
ROUTE_0019,CUST_0191,Store_0191,registrado
ROUTE_0015,CUST_0192,Store_0192,registrado
ROUTE_0010,CUST_0193,Store_0193,registrado
ROUTE_0010,CUST_0194,Store_0194,no registrado
ROUTE_0019,CUST_0195,Store_0195,registrado
ROUTE_0015,CUST_0196,Store_0196,no registrado
ROUTE_0021,CUST_0197,Store_0197,registrado
ROUTE_0012,CUST_0198,Store_0198,no registrado
ROUTE_0005,CUST_0199,Store_0199,registrado
ROUTE_0005,CUST_0200,Store_0200,registrado
ROUTE_0009,CUST_0201,Store_0201,registrado
ROUTE_0006,CUST_0202,Store_0202,registrado
ROUTE_0019,CUST_0203,Store_0203,registrado
ROUTE_0012,CUST_0203,Store_0203,registrado
ROUTE_0019,CUST_0204,Store_0204,registrado
ROUTE_0002,CUST_0205,Store_0205,registrado
ROUTE_0009,CUST_0206,Store_0206,registrado
ROUTE_0012,CUST_0207,Store_0207,registrado
ROUTE_0002,CUST_0208,Store_0208,registrado
ROUTE_0021,CUST_0209,Store_0209,no registrado
ROUTE_0001,CUST_0210,Store_0210,registrado
ROUTE_0019,CUST_0211,Store_0211,registrado
ROUTE_0010,CUST_0212,Store_0212,registrado
ROUTE_0006,CUST_0213,Store_0213,no registrado
ROUTE_0005,CUST_0214,Store_0214,registrado
ROUTE_0009,CUST_0215,Store_0215,registrado
ROUTE_0015,CUST_0216,Store_0216,registrado
ROUTE_0011,CUST_0217,Store_0217,no registrado
ROUTE_0015,CUST_0218,Store_0218,registrado
ROUTE_0019,CUST_0219,Store_0219,registrado
ROUTE_0021,CUST_0220,Store_0220,no registrado
ROUTE_0002,CUST_0221,Store_0221,registrado
ROUTE_0006,CUST_0222,Store_0222,registrado
ROUTE_0006,CUST_0223,Store_0223,no registrado
ROUTE_0018,CUST_0224,Store_0224,registrado
ROUTE_0017,CUST_0225,Store_0225,no registrado
ROUTE_0015,CUST_0226,Store_0226,no registrado
ROUTE_0002,CUST_0227,Store_0227,no registrado
ROUTE_0008,CUST_0228,Store_0228,no registrado
ROUTE_0018,CUST_0229,Store_0229,registrado
ROUTE_0017,CUST_0230,Store_0230,registrado
ROUTE_0018,CUST_0231,Store_0231,registrado
ROUTE_0021,CUST_0232,Store_0232,registrado
ROUTE_0021,CUST_0233,Store_0233,registrado
ROUTE_0021,CUST_0234,Store_0234,registrado
ROUTE_0021,CUST_0235,Store_0235,registrado
ROUTE_0015,CUST_0236,Store_0236,registrado
ROUTE_0005,CUST_0237,Store_0237,registrado
ROUTE_0019,CUST_0238,Store_0238,registrado
ROUTE_0021,CUST_0239,Store_0239,no registrado
ROUTE_0019,CUST_0240,Store_0240,registrado
ROUTE_0021,CUST_0241,Store_0241,registrado
ROUTE_0021,CUST_0242,Store_0242,registrado
ROUTE_0014,CUST_0243,Store_0243,no registrado
ROUTE_0019,CUST_0244,Store_0244,registrado
ROUTE_0008,CUST_0245,Store_0245,registrado
ROUTE_0019,CUST_0246,Store_0246,no registrado
ROUTE_0006,CUST_0247,Store_0247,no registrado
ROUTE_0015,CUST_0248,Store_0248,no registrado
ROUTE_0002,CUST_0249,Store_0249,registrado
ROUTE_0013,CUST_0250,Store_0250,registrado
ROUTE_0019,CUST_0251,Store_0251,no registrado
ROUTE_0012,CUST_0252,Store_0252,no registrado
ROUTE_0015,CUST_0253,Store_0253,no registrado
ROUTE_0021,CUST_0254,Store_0254,registrado
ROUTE_0010,CUST_0255,Store_0255,registrado
ROUTE_0015,CUST_0256,Store_0256,no registrado
ROUTE_0017,CUST_0257,Store_0257,registrado
ROUTE_0005,CUST_0258,Store_0258,registrado
ROUTE_0019,CUST_0259,Store_0259,registrado
ROUTE_0014,CUST_0260,Store_0260,registrado
ROUTE_0019,CUST_0261,Store_0261,registrado
ROUTE_0015,CUST_0262,Store_0262,registrado
ROUTE_0011,CUST_0263,Store_0263,registrado
ROUTE_0004,CUST_0264,Store_0264,no registrado
ROUTE_0016,CUST_0265,Store_0265,registrado
ROUTE_0017,CUST_0266,Store_0266,registrado
ROUTE_0011,CUST_0267,Store_0267,registrado
ROUTE_0003,CUST_0268,Store_0268,no registrado
ROUTE_0015,CUST_0269,Store_0269,registrado
ROUTE_0009,CUST_0270,Store_0270,registrado
ROUTE_0015,CUST_0271,Store_0271,no registrado
ROUTE_0017,CUST_0272,Store_0272,no registrado
ROUTE_0005,CUST_0273,Store_0273,registrado
ROUTE_0006,CUST_0274,Store_0274,registrado
ROUTE_0014,CUST_0275,Store_0275,no registrado
ROUTE_0006,CUST_0276,Store_0276,no registrado
ROUTE_0001,CUST_0277,Store_0277,registrado
ROUTE_0010,CUST_0278,Store_0278,registrado
ROUTE_0019,CUST_0279,Store_0279,registrado
ROUTE_0012,CUST_0280,Store_0280,registrado
ROUTE_0017,CUST_0281,Store_0281,no registrado
ROUTE_0012,CUST_0282,Store_0282,registrado
ROUTE_0018,CUST_0283,Store_0283,registrado
ROUTE_0018,CUST_0284,Store_0284,registrado
ROUTE_0017,CUST_0285,Store_0285,registrado
ROUTE_0021,CUST_0286,Store_0286,registrado
ROUTE_0015,CUST_0287,Store_0287,no registrado
ROUTE_0002,CUST_0288,Store_0288,no registrado
ROUTE_0011,CUST_0289,Store_0289,registrado
ROUTE_0010,CUST_0290,Store_0290,registrado
ROUTE_0018,CUST_0291,Store_0291,registrado
ROUTE_0010,CUST_0292,Store_0292,registrado
ROUTE_0018,CUST_0293,Store_0293,registrado
ROUTE_0019,CUST_0294,Store_0294,registrado
ROUTE_0003,CUST_0295,Store_0295,registrado
ROUTE_0019,CUST_0296,Store_0296,registrado
ROUTE_0012,CUST_0297,Store_0297,registrado
ROUTE_0012,CUST_0298,Store_0298,no registrado
ROUTE_0019,CUST_0299,Store_0299,registrado
ROUTE_0018,CUST_0299,Store_0299,registrado
ROUTE_0007,CUST_0300,Store_0300,registrado
ROUTE_0016,CUST_0301,Store_0301,registrado
ROUTE_0008,CUST_0302,Store_0302,registrado
ROUTE_0018,CUST_0303,Store_0303,registrado
ROUTE_0015,CUST_0304,Store_0304,no registrado
ROUTE_0006,CUST_0305,Store_0305,registrado
ROUTE_0004,CUST_0306,Store_0306,registrado
ROUTE_0019,CUST_0307,Store_0307,no registrado
ROUTE_0015,CUST_0308,Store_0308,registrado
ROUTE_0014,CUST_0309,Store_0309,no registrado
ROUTE_0006,CUST_0310,Store_0310,registrado
ROUTE_0019,CUST_0311,Store_0311,registrado
ROUTE_0006,CUST_0312,Store_0312,no registrado
ROUTE_0010,CUST_0313,Store_0313,registrado
ROUTE_0021,CUST_0314,Store_0314,registrado
ROUTE_0002,CUST_0315,Store_0315,registrado
ROUTE_0012,CUST_0316,Store_0316,registrado
ROUTE_0006,CUST_0317,Store_0317,no registrado
ROUTE_0022,CUST_0318,Store_0318,no registrado
ROUTE_0019,CUST_0319,Store_0319,registrado
ROUTE_0015,CUST_0320,Store_0320,registrado
ROUTE_0010,CUST_0321,Store_0321,registrado
ROUTE_0014,CUST_0322,Store_0322,no registrado
ROUTE_0014,CUST_0323,Store_0323,no registrado
ROUTE_0013,CUST_0324,Store_0324,no registrado
ROUTE_0014,CUST_0325,Store_0325,registrado
ROUTE_0017,CUST_0326,Store_0326,registrado
ROUTE_0019,CUST_0327,Store_0327,registrado
ROUTE_0011,CUST_0328,Store_0328,registrado
ROUTE_0003,CUST_0329,Store_0329,registrado
ROUTE_0002,CUST_0330,Store_0330,registrado
ROUTE_0002,CUST_0331,Store_0331,registrado
ROUTE_0019,CUST_0332,Store_0332,registrado
ROUTE_0019,CUST_0333,Store_0333,registrado
ROUTE_0007,CUST_0334,Store_0334,registrado
ROUTE_0013,CUST_0335,Store_0335,registrado
ROUTE_0013,CUST_0336,Store_0336,registrado
ROUTE_0018,CUST_0337,Store_0337,registrado
ROUTE_0014,CUST_0338,Store_0338,registrado
ROUTE_0005,CUST_0339,Store_0339,registrado
ROUTE_0014,CUST_0340,Store_0340,registrado
ROUTE_0018,CUST_0341,Store_0341,registrado
ROUTE_0003,CUST_0342,Store_0342,registrado
ROUTE_0008,CUST_0343,Store_0343,registrado
ROUTE_0019,CUST_0344,Store_0344,registrado
ROUTE_0012,CUST_0345,Store_0345,no registrado
ROUTE_0012,CUST_0346,Store_0346,registrado
ROUTE_0021,CUST_0347,Store_0347,registrado
ROUTE_0005,CUST_0348,Store_0348,registrado
ROUTE_0019,CUST_0349,Store_0349,no registrado
ROUTE_0018,CUST_0350,Store_0350,registrado
ROUTE_0021,CUST_0351,Store_0351,no registrado
ROUTE_0021,CUST_0352,Store_0352,registrado
ROUTE_0021,CUST_0353,Store_0353,registrado
ROUTE_0019,CUST_0354,Store_0354,registrado
ROUTE_0012,CUST_0354,Store_0354,registrado
ROUTE_0001,CUST_0355,Store_0355,registrado
ROUTE_0003,CUST_0356,Store_0356,registrado
ROUTE_0014,CUST_0357,Store_0357,registrado
ROUTE_0005,CUST_0358,Store_0358,registrado
ROUTE_0006,CUST_0359,Store_0359,registrado
ROUTE_0010,CUST_0360,Store_0360,no registrado
ROUTE_0002,CUST_0361,Store_0361,registrado
ROUTE_0013,CUST_0362,Store_0362,registrado
ROUTE_0012,CUST_0363,Store_0363,registrado
ROUTE_0011,CUST_0364,Store_0364,registrado
ROUTE_0011,CUST_0365,Store_0365,registrado
ROUTE_0019,CUST_0366,Store_0366,registrado
ROUTE_0002,CUST_0367,Store_0367,registrado
ROUTE_0012,CUST_0368,Store_0368,registrado
ROUTE_0015,CUST_0369,Store_0369,registrado
ROUTE_0015,CUST_0370,Store_0370,registrado
ROUTE_0012,CUST_0371,Store_0371,registrado
ROUTE_0021,CUST_0372,Store_0372,registrado
ROUTE_0005,CUST_0373,Store_0373,registrado
ROUTE_0010,CUST_0374,Store_0374,registrado
ROUTE_0002,CUST_0375,Store_0375,registrado
ROUTE_0015,CUST_0376,Store_0376,registrado
ROUTE_0019,CUST_0377,Store_0377,registrado
ROUTE_0005,CUST_0378,Store_0378,registrado
ROUTE_0005,CUST_0379,Store_0379,registrado
ROUTE_0015,CUST_0380,Store_0380,registrado
ROUTE_0008,CUST_0381,Store_0381,registrado
ROUTE_0003,CUST_0382,Store_0382,no registrado
ROUTE_0002,CUST_0383,Store_0383,registrado
ROUTE_0003,CUST_0384,Store_0384,no registrado
ROUTE_0021,CUST_0385,Store_0385,registrado
ROUTE_0002,CUST_0386,Store_0386,registrado
ROUTE_0004,CUST_0387,Store_0387,registrado
ROUTE_0004,CUST_0388,Store_0388,no registrado
ROUTE_0019,CUST_0389,Store_0389,registrado
ROUTE_0012,CUST_0390,Store_0390,registrado
ROUTE_0012,CUST_0391,Store_0391,registrado
ROUTE_0008,CUST_0392,Store_0392,registrado
ROUTE_0003,CUST_0393,Store_0393,registrado
ROUTE_0003,CUST_0394,Store_0394,registrado
ROUTE_0021,CUST_0395,Store_0395,registrado
ROUTE_0012,CUST_0396,Store_0396,registrado
ROUTE_0017,CUST_0397,Store_0397,registrado
ROUTE_0006,CUST_0398,Store_0398,registrado
ROUTE_0014,CUST_0399,Store_0399,registrado
ROUTE_0019,CUST_0400,Store_0400,no registrado
ROUTE_0019,CUST_0401,Store_0401,registrado
ROUTE_0008,CUST_0402,Store_0402,registrado
ROUTE_0003,CUST_0403,Store_0403,no registrado
ROUTE_0003,CUST_0404,Store_0404,registrado
ROUTE_0006,CUST_0405,Store_0405,registrado
ROUTE_0011,CUST_0406,Store_0406,registrado
ROUTE_0012,CUST_0401,Store_0401,registrado
ROUTE_0015,CUST_0407,Store_0407,registrado
ROUTE_0014,CUST_0408,Store_0408,no registrado
ROUTE_0006,CUST_0409,Store_0409,registrado
ROUTE_0010,CUST_0410,Store_0410,no registrado
ROUTE_0010,CUST_0411,Store_0411,registrado
ROUTE_0019,CUST_0412,Store_0412,no registrado
ROUTE_0015,CUST_0413,Store_0413,no registrado
ROUTE_0003,CUST_0414,Store_0414,registrado
ROUTE_0005,CUST_0415,Store_0415,registrado
ROUTE_0006,CUST_0416,Store_0416,registrado
ROUTE_0017,CUST_0417,Store_0417,no registrado
ROUTE_0015,CUST_0418,Store_0418,registrado
ROUTE_0017,CUST_0419,Store_0419,no registrado
ROUTE_0003,CUST_0420,Store_0420,registrado
ROUTE_0014,CUST_0421,Store_0421,registrado
ROUTE_0006,CUST_0422,Store_0422,registrado
ROUTE_0019,CUST_0423,Store_0423,registrado
ROUTE_0019,CUST_0424,Store_0424,registrado
ROUTE_0021,CUST_0425,Store_0425,registrado
ROUTE_0001,CUST_0426,Store_0426,registrado
ROUTE_0001,CUST_0427,Store_0427,no registrado
ROUTE_0001,CUST_0428,Store_0428,registrado
ROUTE_0012,CUST_0429,Store_0429,registrado
ROUTE_0001,CUST_0430,Store_0430,registrado
ROUTE_0017,CUST_0431,Store_0431,no registrado
ROUTE_0011,CUST_0431,Store_0431,no registrado
ROUTE_0004,CUST_0432,Store_0432,registrado
ROUTE_0012,CUST_0433,Store_0433,registrado
ROUTE_0006,CUST_0434,Store_0434,no registrado
ROUTE_0002,CUST_0435,Store_0435,registrado
ROUTE_0005,CUST_0436,Store_0436,no registrado
ROUTE_0019,CUST_0437,Store_0437,registrado
ROUTE_0015,CUST_0438,Store_0438,no registrado
ROUTE_0013,CUST_0439,Store_0439,registrado
ROUTE_0003,CUST_0440,Store_0440,no registrado
ROUTE_0002,CUST_0441,Store_0441,registrado
ROUTE_0003,CUST_0442,Store_0442,no registrado
ROUTE_0003,CUST_0443,Store_0443,no registrado
ROUTE_0008,CUST_0444,Store_0444,no registrado
ROUTE_0016,CUST_0445,Store_0445,registrado
ROUTE_0006,CUST_0446,Store_0446,no registrado
ROUTE_0019,CUST_0447,Store_0447,registrado
ROUTE_0002,CUST_0448,Store_0448,no registrado
ROUTE_0012,CUST_0449,Store_0449,registrado
ROUTE_0002,CUST_0450,Store_0450,no registrado
ROUTE_0006,CUST_0451,Store_0451,no registrado
ROUTE_0012,CUST_0452,Store_0452,registrado
ROUTE_0014,CUST_0453,Store_0453,registrado
ROUTE_0009,CUST_0454,Store_0454,registrado
ROUTE_0018,CUST_0455,Store_0455,registrado
ROUTE_0021,CUST_0456,Store_0456,registrado
ROUTE_0005,CUST_0457,Store_0457,no registrado
ROUTE_0009,CUST_0458,Store_0458,registrado
ROUTE_0012,CUST_0459,Store_0459,registrado
ROUTE_0019,CUST_0460,Store_0460,no registrado
ROUTE_0019,CUST_0461,Store_0461,registrado
ROUTE_0019,CUST_0462,Store_0462,registrado
ROUTE_0019,CUST_0463,Store_0463,registrado
ROUTE_0010,CUST_0464,Store_0464,registrado
ROUTE_0012,CUST_0465,Store_0465,registrado
ROUTE_0012,CUST_0466,Store_0466,registrado
ROUTE_0019,CUST_0467,Store_0467,registrado
ROUTE_0018,CUST_0467,Store_0467,registrado
ROUTE_0015,CUST_0468,Store_0468,registrado
ROUTE_0019,CUST_0469,Store_0469,registrado
ROUTE_0003,CUST_0470,Store_0470,registrado
ROUTE_0018,CUST_0471,Store_0471,registrado
ROUTE_0002,CUST_0472,Store_0472,registrado
ROUTE_0002,CUST_0473,Store_0473,registrado
ROUTE_0012,CUST_0474,Store_0474,registrado
ROUTE_0012,CUST_0475,Store_0475,registrado
ROUTE_0002,CUST_0476,Store_0476,no registrado
ROUTE_0003,CUST_0477,Store_0477,registrado
ROUTE_0021,CUST_0478,Store_0478,registrado
ROUTE_0005,CUST_0479,Store_0479,no registrado
ROUTE_0005,CUST_0480,Store_0480,no registrado
ROUTE_0014,CUST_0481,Store_0481,registrado
ROUTE_0002,CUST_0482,Store_0482,registrado
ROUTE_0019,CUST_0483,Store_0483,registrado
ROUTE_0019,CUST_0484,Store_0484,registrado
ROUTE_0019,CUST_0485,Store_0485,registrado
ROUTE_0019,CUST_0486,Store_0486,registrado
ROUTE_0008,CUST_0487,Store_0487,registrado
ROUTE_0003,CUST_0488,Store_0488,registrado
ROUTE_0006,CUST_0489,Store_0489,registrado
ROUTE_0011,CUST_0490,Store_0490,registrado
ROUTE_0018,CUST_0483,Store_0483,registrado
ROUTE_0012,CUST_0491,Store_0491,registrado
ROUTE_0015,CUST_0492,Store_0492,registrado
ROUTE_0004,CUST_0493,Store_0493,no registrado
ROUTE_0019,CUST_0494,Store_0494,no registrado
ROUTE_0006,CUST_0495,Store_0495,no registrado
ROUTE_0016,CUST_0496,Store_0496,registrado
ROUTE_0009,CUST_0497,Store_0497,registrado
ROUTE_0004,CUST_0498,Store_0498,registrado
ROUTE_0003,CUST_0499,Store_0499,no registrado
ROUTE_0006,CUST_0500,Store_0500,no registrado
ROUTE_0009,CUST_0499,Store_0499,no registrado
ROUTE_0005,CUST_0501,Store_0501,registrado
ROUTE_0010,CUST_0502,Store_0502,registrado
ROUTE_0019,CUST_0503,Store_0503,no registrado
ROUTE_0016,CUST_0504,Store_0504,registrado
ROUTE_0015,CUST_0505,Store_0505,registrado
ROUTE_0018,CUST_0506,Store_0506,registrado
ROUTE_0002,CUST_0507,Store_0507,no registrado
ROUTE_0018,CUST_0508,Store_0508,registrado
ROUTE_0019,CUST_0509,Store_0509,registrado
ROUTE_0012,CUST_0510,Store_0510,registrado
