ruta_sap,cliente_id,nombre_cliente,status_registro,categoría,%_venta_digital
RT004,200001463,Mercadito San José 64,registrado,non digital,0 %
RT004,200001470,Bodega Los Pinos 93,registrado,non digital,0 %
RT004,200001536,Minisuper El Mirador 76,registrado,non digital,0 %
RT004,200001562,Minisuper El Roble 57,registrado,non digital,0 %
RT004,200001600,Tienda El Trebol 58,registrado,non digital,0 %
RT004,200001628,Super Los Pinos 37,registrado,non digital,0 %
RT004,200001648,Bodega La Perla 86,registrado,non digital,0 %
RT004,200001915,Minisuper La Perla 29,registrado,non digital,0 %
RT004,200001961,Tienda Los Pinos 35,registrado,non digital,0 %
RT005,200000013,Frutería La Esperanza 42,registrado,non digital,0 %
RT005,200000021,Tienda El Progreso 19,registrado,non digital,0 %
RT005,200000038,Mini Market La Esperanza 47,registrado,non digital,0 %
RT005,200000220,Minisuper Santa Fe 35,registrado,non digital,0 %
RT005,200000236,Depósito El Encanto 2,registrado,non digital,0 %
RT005,200000272,Tienda Los Alamos 25,registrado,non digital,0 %
RT005,200000738,Super Santa Cruz 50,registrado,non digital,0 %
RT005,200000839,Mercadito El Trebol 40,registrado,non digital,0 %
RT005,200001074,Comercial Del Valle 95,registrado,non digital,0 %
RT005,200001325,Bodega Santa Cruz 13,registrado,non digital,0 %
RT005,200001646,Comercial Las Flores 43,registrado,non digital,0 %
RT005,200001675,Depósito Los Alamos 58,registrado,non digital,0 %
RT005,200001803,Super El Sol 60,registrado,non digital,0 %
RT005,200001911,Minisuper Los Alamos 53,registrado,non digital,0 %
RT005,200001911,Minisuper Los Alamos 53,registrado,non digital,0 %
RT006,200000068,Mercadito Buena Vista 72,registrado,non digital,0 %
RT006,200000515,Mercadito El Sol 57,registrado,non digital,0 %
RT006,200000515,Mercadito El Sol 57,registrado,non digital,0 %
RT006,200000584,Minisuper Santa Fe 53,registrado,non digital,0 %
RT006,200000584,Minisuper Santa Fe 53,registrado,non digital,0 %
RT006,200000837,Mini Market El Roble 22,registrado,non digital,0 %
RT006,200000837,Mini Market El Roble 22,registrado,non digital,0 %
RT006,200000840,Depósito El Mirador 58,registrado,non digital,0 %
RT006,200000840,Depósito El Mirador 58,registrado,non digital,0 %
RT006,200000914,Mini Market Del Valle 77,registrado,non digital,0 %
RT006,200000914,Mini Market Del Valle 77,registrado,non digital,0 %
RT006,200000967,Super Del Norte 6,registrado,non digital,0 %
RT006,200001058,Abarrotes La Unión 72,registrado,non digital,0 %
RT006,200001151,Bodega Buena Vista 55,registrado,non digital,0 %
RT006,200001160,Super La Perla 66,registrado,non digital,0 %
RT006,200001161,Minisuper La Fortuna 30,registrado,non digital,0 %
RT006,200001221,Depósito El Roble 54,registrado,non digital,0 %
RT006,200001253,Bodega El Encanto 40,registrado,non digital,0 %
RT006,200001305,Abarrotes Las Flores 90,registrado,non digital,0 %
RT006,200001384,Frutería La Perla 46,registrado,non digital,0 %
RT006,200001516,Mini Market La Fortuna 17,registrado,non digital,0 %
RT006,200001516,Mini Market La Fortuna 17,registrado,non digital,0 %
RT006,200001641,Depósito San José 77,registrado,non digital,0 %
RT006,200001645,Bodega La Perla 20,registrado,non digital,0 %
RT006,200001652,Mini Market Los Alamos 12,registrado,non digital,0 %
RT006,200001661,Depósito El Roble 6,registrado,non digital,0 %
RT006,200001703,Mini Market El Roble 41,registrado,non digital,0 %
RT006,200001711,Comercial El Progreso 96,registrado,non digital,0 %
RT006,200001717,Depósito Las Flores 67,registrado,non digital,0 %
RT006,200001719,Comercial El Mirador 9,registrado,non digital,0 %
RT006,200001720,Bodega El Roble 26,registrado,non digital,0 %
RT006,200001723,Mini Market Buena Vista 51,registrado,non digital,0 %
RT006,200001741,Super La Perla 90,registrado,non digital,0 %
RT006,200001766,Super Del Norte 44,registrado,non digital,0 %
RT006,200001863,Abarrotes El Trebol 7,registrado,non digital,0 %
RT006,200001871,Bodega El Trebol 37,registrado,non digital,0 %
RT006,200001873,Comercial Los Alamos 60,registrado,non digital,0 %
RT006,200001882,Comercial El Trebol 37,registrado,non digital,0 %
RT006,200001883,Depósito Santa Cruz 32,registrado,non digital,0 %
RT006,200001886,Tienda Santa Cruz 60,registrado,non digital,0 %
RT006,200001951,Mini Market Los Pinos 95,registrado,non digital,0 %
RT006,200001955,Comercial El Progreso 3,registrado,non digital,0 %
RT006,200001962,Tienda El Encanto 76,registrado,non digital,0 %
RT006,200002044,Comercial Los Pinos 92,registrado,non digital,0 %
RT007,200000035,Bodega Del Valle 16,registrado,non digital,0 %
RT007,200000231,Frutería La Esperanza 42,registrado,non digital,0 %
RT007,200000411,Comercial El Mirador 8,registrado,non digital,0 %
RT007,200000586,Mini Market Buena Vista 62,registrado,non digital,0 %
RT007,200000702,Comercial La Perla 59,registrado,non digital,0 %
RT007,200000723,Depósito Santa Cruz 96,registrado,non digital,0 %
RT007,200000733,Abarrotes El Encanto 16,registrado,non digital,0 %
RT007,200000753,Mercadito Santa Fe 85,registrado,non digital,0 %
RT007,200000797,Minisuper El Roble 97,registrado,non digital,0 %
RT007,200000801,Minisuper Los Pinos 13,registrado,non digital,0 %
RT007,200000897,Abarrotes Las Flores 36,registrado,non digital,0 %
RT007,200000900,Super Del Norte 86,registrado,non digital,0 %
RT007,200000917,Minisuper La Esperanza 14,registrado,non digital,0 %
RT007,200001265,Comercial El Roble 95,registrado,non digital,0 %
RT007,200001625,Bodega Buena Vista 66,registrado,non digital,0 %
RT007,200001724,Depósito Del Valle 8,registrado,non digital,0 %
RT007,200001852,Super El Sol 47,registrado,non digital,0 %
RT007,200001904,Abarrotes Los Alamos 16,registrado,non digital,0 %
RT007,200001916,Tienda El Mirador 66,registrado,non digital,0 %
RT007,200001974,Comercial Santa Fe 5,registrado,non digital,0 %
RT007,200001979,Bodega Santa Cruz 22,registrado,non digital,0 %
RT008,200000080,Comercial Los Alamos 6,registrado,non digital,0 %
RT008,200000089,Comercial La Perla 15,registrado,non digital,0 %
RT008,200000091,Minisuper El Progreso 73,registrado,non digital,0 %
RT008,200000115,Super El Progreso 72,registrado,non digital,0 %
RT008,200000291,Super Del Valle 75,registrado,non digital,0 %
RT008,200000330,Minisuper La Esperanza 79,registrado,non digital,0 %
RT008,200000361,Depósito La Victoria 13,registrado,non digital,0 %
RT008,200000614,Depósito Buena Vista 89,registrado,non digital,0 %
RT008,200000697,Minisuper Buena Vista 11,registrado,non digital,0 %
RT008,200000764,Mercadito Los Alamos 56,registrado,non digital,0 %
RT008,200000793,Frutería El Mirador 44,registrado,non digital,0 %
RT008,200000794,Mini Market El Mirador 93,registrado,non digital,0 %
RT008,200000795,Bodega El Trebol 48,registrado,non digital,0 %
RT008,200000870,Minisuper Del Valle 2,registrado,non digital,0 %
RT008,200000888,Super Los Alamos 55,registrado,non digital,0 %
RT008,200000896,Super El Encanto 21,registrado,non digital,0 %
RT008,200001077,Abarrotes El Trebol 83,registrado,non digital,0 %
RT008,200001090,Mini Market La Victoria 28,registrado,non digital,0 %
RT008,200001092,Comercial El Trebol 66,registrado,non digital,0 %
RT008,200001140,Minisuper La Esperanza 69,registrado,non digital,0 %
RT008,200001141,Super Los Alamos 13,registrado,non digital,0 %
RT008,200001188,Comercial Santa Fe 23,registrado,non digital,0 %
RT008,200001194,Minisuper Del Valle 28,registrado,non digital,0 %
RT008,200001250,Mini Market Los Pinos 70,registrado,non digital,0 %
RT008,200001378,Bodega El Mirador 10,registrado,non digital,0 %
RT008,200001411,Comercial La Perla 99,registrado,non digital,0 %
RT008,200001456,Tienda El Mirador 81,registrado,non digital,0 %
RT008,200001464,Bodega El Roble 20,registrado,non digital,0 %
RT008,200001485,Depósito Buena Vista 68,registrado,non digital,0 %
RT008,200001502,Abarrotes El Encanto 35,registrado,non digital,0 %
RT008,200001504,Bodega Las Flores 5,registrado,non digital,0 %
RT008,200001505,Mercadito La Fortuna 1,registrado,non digital,0 %
RT008,200001590,Comercial La Victoria 56,registrado,non digital,0 %
RT008,200001616,Tienda El Sol 20,registrado,non digital,0 %
RT008,200001618,Super La Victoria 34,registrado,non digital,0 %
RT008,200001629,Minisuper La Esperanza 53,registrado,non digital,0 %
RT008,200001678,Mercadito Santa Cruz 53,registrado,non digital,0 %
RT008,200001730,Mercadito La Victoria 67,registrado,non digital,0 %
RT008,200001732,Tienda La Fortuna 46,registrado,non digital,0 %
RT008,200001735,Frutería El Roble 58,registrado,non digital,0 %
RT008,200001791,Comercial Las Flores 5,registrado,non digital,0 %
RT008,200001801,Super Los Pinos 71,registrado,non digital,0 %
RT008,200001814,Minisuper La Esperanza 74,registrado,non digital,0 %
RT008,200001818,Tienda La Esperanza 96,registrado,non digital,0 %
RT008,200001837,Bodega La Fortuna 36,registrado,non digital,0 %
RT008,200002000,Mini Market La Esperanza 17,registrado,non digital,0 %
RT008,200002010,Mini Market Del Norte 70,registrado,non digital,0 %
RT009,200000184,Depósito Las Flores 54,registrado,non digital,0 %
RT009,200000221,Mini Market Los Pinos 69,registrado,non digital,0 %
RT009,200000331,Mini Market Buena Vista 81,registrado,non digital,0 %
RT009,200000382,Super La Fortuna 68,registrado,non digital,0 %
RT009,200000457,Comercial La Unión 61,registrado,non digital,0 %
RT009,200000480,Comercial El Sol 15,registrado,non digital,0 %
RT009,200000499,Tienda Las Flores 83,registrado,non digital,0 %
RT009,200000527,Super La Fortuna 3,registrado,non digital,0 %
RT009,200000711,Frutería La Unión 62,registrado,non digital,0 %
RT009,200000745,Mercadito La Fortuna 20,registrado,non digital,0 %
RT009,200000796,Abarrotes La Victoria 65,registrado,non digital,0 %
RT009,200000838,Super El Progreso 77,registrado,non digital,0 %
RT009,200000906,Depósito Las Flores 76,registrado,non digital,0 %
RT009,200000908,Bodega Santa Fe 52,registrado,non digital,0 %
RT009,200000918,Mercadito Las Flores 19,registrado,non digital,0 %
RT009,200000954,Bodega Los Pinos 22,registrado,non digital,0 %
RT009,200000960,Mercadito Los Pinos 22,registrado,non digital,0 %
RT009,200000964,Mercadito El Mirador 18,registrado,non digital,0 %
RT009,200000985,Depósito El Progreso 24,registrado,non digital,0 %
RT009,200001071,Minisuper La Perla 19,registrado,non digital,0 %
RT009,200001435,Minisuper Santa Fe 7,registrado,non digital,0 %
RT009,200001436,Comercial La Esperanza 18,registrado,non digital,0 %
RT009,200001475,Tienda La Esperanza 67,registrado,non digital,0 %
RT009,200001476,Frutería Los Pinos 70,registrado,non digital,0 %
RT009,200001477,Depósito El Trebol 39,registrado,non digital,0 %
RT009,200001541,Depósito El Roble 18,registrado,non digital,0 %
RT009,200001587,Minisuper El Trebol 95,registrado,non digital,0 %
RT009,200001589,Mercadito El Trebol 14,registrado,non digital,0 %
RT009,200001627,Minisuper San José 12,registrado,non digital,0 %
RT009,200001706,Depósito Santa Fe 86,registrado,non digital,0 %
RT009,200001721,Bodega La Fortuna 83,registrado,non digital,0 %
RT009,200001830,Frutería Los Alamos 32,registrado,non digital,0 %
RT009,200001957,Tienda El Trebol 8,registrado,non digital,0 %
RT009,200002017,Mini Market Del Norte 69,registrado,non digital,0 %
RT009,200002020,Mini Market El Mirador 41,registrado,non digital,0 %
RT009,200002033,Bodega El Encanto 37,registrado,non digital,0 %
RT009,200002052,Minisuper Santa Cruz 46,registrado,non digital,0 %
RT010,200000007,Comercial El Encanto 31,registrado,non digital,0 %
RT010,200000127,Depósito El Sol 94,registrado,non digital,0 %
RT010,200000242,Mercadito El Encanto 12,registrado,non digital,0 %
RT010,200000334,Minisuper La Perla 69,registrado,non digital,0 %
RT010,200000420,Super San José 21,registrado,non digital,0 %
RT010,200000502,Comercial Buena Vista 53,registrado,non digital,0 %
RT010,200001116,Comercial La Esperanza 27,registrado,non digital,0 %
RT010,200001223,Comercial Del Norte 63,registrado,non digital,0 %
RT010,200001413,Tienda Santa Cruz 23,registrado,non digital,0 %
RT010,200001666,Minisuper Santa Cruz 20,registrado,non digital,0 %
RT011,200000014,Depósito El Encanto 2,registrado,non digital,0 %
RT011,200000014,Depósito El Encanto 2,registrado,non digital,0 %
RT011,200000052,Minisuper El Sol 94,registrado,non digital,0 %
RT011,200000124,Bodega El Encanto 27,registrado,non digital,0 %
RT011,200000135,Frutería La Esperanza 44,registrado,non digital,0 %
RT011,200000140,Minisuper El Encanto 40,registrado,non digital,0 %
RT011,200000140,Minisuper El Encanto 40,registrado,non digital,0 %
RT011,200000151,Tienda El Trebol 1,registrado,non digital,0 %
RT011,200000151,Tienda El Trebol 1,registrado,non digital,0 %
RT011,200000152,Comercial El Sol 27,registrado,non digital,0 %
RT011,200000174,Abarrotes Del Norte 36,registrado,non digital,0 %
RT011,200000194,Bodega San José 91,registrado,non digital,0 %
RT011,200000200,Mini Market Las Flores 37,registrado,non digital,0 %
RT011,200000262,Minisuper El Encanto 17,registrado,non digital,0 %
RT011,200000360,Frutería La Unión 13,registrado,non digital,0 %
RT011,200000370,Mini Market Los Pinos 55,registrado,non digital,0 %
RT011,200000378,Abarrotes El Progreso 10,registrado,non digital,0 %
RT011,200000407,Depósito El Mirador 16,registrado,non digital,0 %
RT011,200000431,Frutería San José 73,registrado,non digital,0 %
RT011,200000436,Super La Fortuna 92,registrado,non digital,0 %
RT011,200000452,Bodega Santa Fe 78,registrado,non digital,0 %
RT011,200000464,Depósito Los Alamos 82,registrado,non digital,0 %
RT011,200000495,Bodega La Unión 30,registrado,non digital,0 %
RT011,200000495,Bodega La Unión 30,registrado,non digital,0 %
RT011,200000513,Comercial La Victoria 59,registrado,non digital,0 %
RT011,200000518,Depósito Las Flores 38,registrado,non digital,0 %
RT011,200000562,Comercial San José 53,registrado,non digital,0 %
RT011,200000775,Bodega La Esperanza 44,registrado,non digital,0 %
RT011,200000815,Frutería San José 2,registrado,non digital,0 %
RT011,200000815,Frutería San José 2,registrado,non digital,0 %
RT011,200000831,Tienda El Encanto 56,registrado,non digital,0 %
RT011,200000925,Mini Market El Roble 43,registrado,non digital,0 %
RT011,200000935,Depósito La Victoria 28,registrado,non digital,0 %
RT011,200001006,Mini Market El Progreso 81,registrado,non digital,0 %
RT011,200001027,Mini Market La Perla 98,registrado,non digital,0 %
RT011,200001032,Comercial La Unión 19,registrado,non digital,0 %
RT011,200001034,Comercial El Mirador 80,registrado,non digital,0 %
RT011,200001036,Abarrotes El Sol 72,registrado,non digital,0 %
RT011,200001043,Mercadito Las Flores 47,registrado,non digital,0 %
RT011,200001126,Minisuper Del Valle 47,registrado,non digital,0 %
RT011,200001164,Tienda La Esperanza 1,registrado,non digital,0 %
RT011,200001165,Tienda El Sol 92,registrado,non digital,0 %
RT011,200001171,Comercial El Encanto 95,registrado,non digital,0 %
RT011,200001173,Bodega El Sol 14,registrado,non digital,0 %
RT011,200001177,Abarrotes San José 57,registrado,non digital,0 %
RT011,200001211,Super Del Norte 86,registrado,non digital,0 %
RT011,200001229,Mini Market El Trebol 37,registrado,non digital,0 %
RT011,200001397,Depósito Santa Fe 90,registrado,non digital,0 %
RT011,200001478,Minisuper El Progreso 10,registrado,non digital,0 %
RT011,200001548,Frutería Del Valle 35,registrado,non digital,0 %
RT011,200001558,Comercial La Esperanza 56,registrado,non digital,0 %
RT011,200001670,Bodega Buena Vista 58,registrado,non digital,0 %
RT011,200001679,Comercial Los Alamos 50,registrado,non digital,0 %
RT011,200001738,Bodega Las Flores 73,registrado,non digital,0 %
RT011,200001787,Tienda El Sol 27,registrado,non digital,0 %
RT012,200000011,Abarrotes La Perla 96,registrado,non digital,0 %
RT012,200000098,Comercial Santa Cruz 55,registrado,non digital,0 %
RT012,200000208,Mini Market Buena Vista 59,registrado,non digital,0 %
RT012,200000337,Bodega La Perla 76,registrado,non digital,0 %
RT012,200000401,Super El Sol 64,registrado,non digital,0 %
RT012,200000406,Frutería El Encanto 87,registrado,non digital,0 %
RT012,200000428,Minisuper San José 20,registrado,non digital,0 %
RT012,200000557,Mercadito La Fortuna 8,registrado,non digital,0 %
RT012,200000574,Super San José 47,registrado,non digital,0 %
RT012,200000576,Frutería La Victoria 5,registrado,non digital,0 %
RT012,200000578,Frutería Del Norte 87,registrado,non digital,0 %
RT012,200000582,Comercial Del Norte 59,registrado,non digital,0 %
RT012,200000866,Mercadito Los Pinos 84,registrado,non digital,0 %
RT012,200000880,Minisuper San José 71,registrado,non digital,0 %
RT012,200000949,Tienda Del Norte 58,registrado,non digital,0 %
RT012,200001081,Mercadito El Trebol 89,registrado,non digital,0 %
RT012,200001101,Depósito El Sol 53,registrado,non digital,0 %
RT012,200001123,Mini Market El Progreso 81,registrado,non digital,0 %
RT012,200001490,Super La Fortuna 65,registrado,non digital,0 %
RT012,200001519,Minisuper Santa Fe 86,registrado,non digital,0 %
RT012,200001523,Comercial La Victoria 95,registrado,non digital,0 %
RT012,200001529,Bodega El Progreso 86,registrado,non digital,0 %
RT012,200001530,Bodega El Encanto 9,registrado,non digital,0 %
RT012,200001532,Super Buena Vista 96,registrado,non digital,0 %
RT012,200001533,Tienda Buena Vista 92,registrado,non digital,0 %
RT012,200001605,Bodega San José 37,registrado,non digital,0 %
RT012,200001698,Depósito La Esperanza 67,registrado,non digital,0 %
RT012,200001906,Comercial El Mirador 14,registrado,non digital,0 %
RT012,200001931,Super Del Norte 48,registrado,non digital,0 %
RT012,200001934,Abarrotes Del Valle 24,registrado,non digital,0 %
RT012,200001935,Frutería Los Alamos 12,registrado,non digital,0 %
RT012,200001936,Frutería Del Valle 94,registrado,non digital,0 %
RT012,200001944,Bodega Las Flores 21,registrado,non digital,0 %
RT012,200001959,Frutería La Perla 78,registrado,non digital,0 %
RT012,200002005,Depósito La Fortuna 23,registrado,non digital,0 %
RT012,200002012,Bodega El Progreso 60,registrado,non digital,0 %
RT012,200002034,Comercial La Fortuna 26,registrado,non digital,0 %
RT013,200000012,Tienda El Mirador 99,registrado,non digital,0 %
RT013,200000099,Comercial El Mirador 36,registrado,non digital,0 %
RT013,200000288,Depósito Buena Vista 94,registrado,non digital,0 %
RT013,200000294,Minisuper Las Flores 64,registrado,non digital,0 %
RT013,200000311,Abarrotes El Progreso 8,registrado,non digital,0 %
RT013,200000311,Abarrotes El Progreso 8,registrado,non digital,0 %
RT013,200000923,Mini Market Santa Fe 44,registrado,non digital,0 %
RT013,200001252,Mercadito Del Valle 47,registrado,non digital,0 %
RT013,200001272,Mini Market El Encanto 15,registrado,non digital,0 %
RT013,200001668,Mercadito Santa Cruz 54,registrado,non digital,0 %
RT013,200001900,Mini Market Buena Vista 35,registrado,non digital,0 %
RT013,200001995,Mercadito La Victoria 19,registrado,non digital,0 %
RT014,200000036,Bodega El Roble 56,registrado,non digital,0 %
RT014,200000064,Comercial Buena Vista 59,registrado,non digital,0 %
RT014,200000260,Super La Perla 56,registrado,non digital,0 %
RT014,200000592,Frutería El Sol 50,registrado,non digital,0 %
RT014,200000610,Super Los Pinos 70,registrado,non digital,0 %
RT014,200000611,Minisuper La Victoria 46,registrado,non digital,0 %
RT014,200000622,Mercadito El Sol 46,registrado,non digital,0 %
RT014,200000635,Minisuper Los Pinos 27,registrado,non digital,0 %
RT014,200000636,Comercial El Encanto 19,registrado,non digital,0 %
RT014,200000638,Mini Market Santa Cruz 88,registrado,non digital,0 %
RT014,200000642,Depósito El Trebol 87,registrado,non digital,0 %
